player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
201572,2023,1610612749,78,15.9,6.7,1.3,0.5,2.5,0.531,0.374,0.784,30.4,1.4,0.3
201572,2024,1610612749,79,12.5,5.2,1.6,0.5,2.4,0.485,0.366,0.821,30.5,1.0,0.3
201572,2025,1610612749,80,13.0,5.0,1.8,0.6,1.9,0.509,0.373,0.826,31.8,1.1,0.3
201577,2021,1610612764,71,9.0,3.8,0.8,0.2,0.6,0.633,0.278,0.723,19.1,1.1,0.2
201577,2022,1610612753,36,7.1,3.5,1.5,0.1,0.5,0.553,0.333,0.593,17.0,1.2,0.3
201577,2023,1610612739,37,3.0,1.4,0.5,0.1,0.2,0.64,0.5,0.778,8.1,0.7,0.1
201577,2024,1610612749,16,1.1,0.3,0.3,0.1,0.2,0.368,0.25,1.0,4.0,0.1,0.1
201580,2021,1610612743,46,7.3,5.2,0.8,0.4,1.2,0.511,0.208,0.657,14.7,1.3,0.3
201580,2022,1610612756,74,9.2,6.7,0.6,0.3,1.1,0.629,0.222,0.699,15.8,1.3,0.2
201580,2023,1610612742,42,4.4,2.5,0.3,0.1,0.6,0.64,0.4,0.585,8.4,0.9,0.2
201580,2024,1610612758,46,4.0,2.7,0.4,0.3,0.4,0.598,0.143,0.578,7.4,0.7,0.2
201586,2021,1610612746,41,11.1,6.7,1.8,0.2,1.1,0.51,0.339,0.811,23.3,1.1,0.5
201586,2022,1610612749,54,6.8,4.6,0.9,0.2,0.6,0.5,0.374,0.727,16.3,0.8,0.2
201586,2023,1610612749,16,4.1,2.8,0.3,0.1,0.4,0.481,0.333,0.615,11.6,0.7,0.4
201587,2021,1610612746,67,8.1,4.7,2.2,1.0,0.6,0.464,0.404,0.828,27.4,0.8,0.2
201587,2022,1610612746,59,8.3,4.3,1.7,1.0,0.7,0.463,0.4,0.658,24.8,0.7,0.3
201587,2023,1610612746,78,6.1,3.8,1.6,0.7,0.6,0.42,0.391,0.708,21.9,0.6,0.2
201587,2024,1610612755,60,5.3,4.1,2.1,0.8,0.6,0.453,0.395,0.714,25.5,0.7,0.2
201587,2025,1610612746,78,4.0,2.8,1.1,0.7,0.5,0.437,0.433,0.81,17.5,0.4,0.1
201588,2021,1610612755,30,8.7,2.0,2.4,0.8,0.2,0.482,0.388,0.8,22.4,1.0,0.4
201588,2022,1610612749,54,6.2,2.9,2.2,0.8,0.1,0.429,0.306,0.919,23.2,0.8,0.2
201588,2023,1610612754,46,5.0,1.8,2.4,0.6,0.1,0.47,0.358,0.764,18.1,0.7,0.2
201599,2021,1610612751,57,7.5,7.5,1.6,0.3,1.1,0.763,0.0,0.5,21.9,1.5,0.3
201599,2022,1610612755,48,4.3,5.5,0.4,0.3,0.7,0.643,0.0,0.55,13.0,0.8,0.2
201599,2023,1610612743,39,5.1,5.2,0.9,0.3,0.6,0.765,1.0,0.458,15.0,1.2,0.3
